Name,English Name,Operator,Output (MW)
Zonnepark Dorhout Mees,,,134
Zonnepark Vloeivelden Hollandia,,,116
Zonnepark Vlagtwedde,,Powerfield,110
Zonnepark Midden-Groningen,,Chint Solar/ Astronergy,103
Zonnepark Fledderbosch,,,100
Zonnepark Stadskanaal,,,100
Zonnepark Winterswijk Masterveldweg,,,74
Zonnepark Duurkenakker,,,64
Zonnepark Pekela,,,63
Zonnepark Venekoten,,GroenLeven,63
Zonnepark Mosselbanken Terneuzen,,,60
Zonnepark Meerkoetenweg Lelystad,,,57
Zonnepark Boxmeer,,,55
Vlissingen – Scaldia,,Solarfields,54
Zonnepark Zuidbroek,,,54
Energiepark Pottendijk,,,50
Zonnepark Exloosche Landen,,,50
Zonnepark Hollandscheveld,,,50
Zonnepark Buinerveen,,,45
Zonnepark Voorst,,,45
Zonnepark Flevo Nice,,,44
Zonnepark Budel,,,43.8
Zonnepark Edelhertweg,,,43.3
Zonnepark Sellingen,,BayWa r.e.,41.4
Zonnepark Aadijk,,,40
Zonnepark Koegorspolder Tractaatweg,,,40
Zonnepark Markiezaat,,Shell,40
Zonnepark Ooltgensplaat,,,40
Energiepark Haringvliet Zuid,,Vattenfall,38
Zonnepark Wisentweg,,,38
Zonnepark Bavelse Berg,,,37
Zonnepark Zevent,,,37
Zonneweide Larendeel,,,37
Solar carport Biddinghuizen,,,35
Zonnepark Harderwold,,,35
Zonnepark Evertkreekweg,,,34.5
Zonnepark Molenwaard,,Solarfields / Engie,34
Zonnepark Zuyderzon,,,34
Zonnepark Groene Hoek,,SolarEnergyWorks/SADC,33
Zonnepark Hooibroeken,,Energiek Heusden;Sunvest,33
Zonnepark Leeksterveld fase 3,,,33
Zonnepark Pesse,,,32.6
Zonnepark Koegorspolder Sluiskil,,,31.1
Zonnepark Attero Wijster,,,31
Energiepark Klaverblad Noordoost,,,30.5
SunPort Delfzijl,,WIRSOL,30
Zonnepark A73-Sambeeksedijk,,,30
Zonnepark De Ronde Blesse,,,30
Zonnepark Lemsterhoek,,,30
Zonnepark Oosterveld,,,30
Zonnepark Oranjepoort,,Vereniging Parkmanagement Bedrijventerreinen Emmen BV,30
Zonnepark Roodehaan III,,,30
Zonneweide Haghorst,,,30
Zonneweide Beemte-Broekland,,,29.8
Zonnepark Flevokust,,,29.5
