Name,English Name,Operator,Output (MW),Latitude,Longitude
Zonnepark Dorhout Mees,,,134,52.4139936,5.6854483
Zonnepark Vloeivelden Hollandia,,,116,52.9308173,6.9108916
Zonnepark Vlagtwedde,,Powerfield,110,52.9787664,7.0772619
Zonnepark Midden-Groningen,,Chint Solar/ Astronergy,103,53.1770780,6.7785168
Zonnepark Fledderbosch,,,100,53.2544348,6.6837122
Zonnepark Stadskanaal,,,100,53.0104205,6.9411997
Zonnepark Winterswijk Masterveldweg,,,74,52.0122056,6.7784576
Zonnepark Duurkenakker,,,64,53.1422087,6.8930383
Zonnepark Pekela,,,63,53.1114354,6.9887368
Zonnepark Venekoten,,GroenLeven,63,,
Zonnepark Mosselbanken Terneuzen,,,60,51.3444822,3.7387038
Zonnepark Meerkoetenweg Lelystad,,,57,52.4514953,5.4847699
Zonnepark Boxmeer,,,55,,
Vlissingen – Scaldia,,Solarfields,54,51.4807419,3.7084464
Zonnepark Zuidbroek,,,54,53.1697581,6.8436517
Energiepark Pottendijk,,,50,52.8223572,6.9771104
Zonnepark Exloosche Landen,,,50,52.8872152,6.8870026
Zonnepark Hollandscheveld,,,50,52.7112007,6.5852770
Zonnepark Buinerveen,,,45,52.9399472,6.8626205
Zonnepark Voorst,,,45,52.1886175,6.0581565
Zonnepark Flevo Nice,,,44,52.4205722,5.6911638
Zonnepark Budel,,,43.8,51.2393348,5.6126949
Zonnepark Edelhertweg,,,43.3,52.5368136,5.5418025
Zonnepark Sellingen,,BayWa r.e.,41.4,52.9446304,7.0935637
Zonnepark Aadijk,,,40,,
Zonnepark Koegorspolder Tractaatweg,,,40,51.2778386,3.8717835
Zonnepark Markiezaat,,Shell,40,51.4207068,4.2738021
Zonnepark Ooltgensplaat,,,40,51.6930952,4.3426504
Energiepark Haringvliet Zuid,,Vattenfall,38,51.7538906,4.1903322
Zonnepark Wisentweg,,,38,52.5213825,5.5821337
Zonnepark Bavelse Berg,,,37,51.5849851,4.8394719
Zonnepark Zevent,,,37,51.8654631,5.5744478
Zonneweide Larendeel,,,37,51.8702204,5.6267600
Solar carport Biddinghuizen,,,35,52.4357581,5.7713391
Zonnepark Harderwold,,,35,52.3764119,5.5988800
Zonnepark Evertkreekweg,,,34.5,51.5632696,4.4441625
Zonnepark Molenwaard,,Solarfields / Engie,34,53.1593048,6.7319853
Zonnepark Zuyderzon,,,34,52.4203260,5.2428735
Zonnepark Groene Hoek,,SolarEnergyWorks/SADC,33,52.3000784,4.7166746
Zonnepark Hooibroeken,,Energiek Heusden;Sunvest,33,51.7213190,5.1251523
Zonnepark Leeksterveld fase 3,,,33,53.1833149,6.3615547
Zonnepark Pesse,,,32.6,52.7809142,6.4827763
Zonnepark Koegorspolder Sluiskil,,,31.1,51.2729835,3.8654891
Zonnepark Attero Wijster,,,31,52.7965114,6.5233139
Energiepark Klaverblad Noordoost,,,30.5,52.9822327,5.9375346
SunPort Delfzijl,,WIRSOL,30,53.3016762,6.9574519
Zonnepark A73-Sambeeksedijk,,,30,,
Zonnepark De Ronde Blesse,,,30,52.8317615,6.0668428
Zonnepark Lemsterhoek,,,30,52.8493302,5.6607803
Zonnepark Oosterveld,,,30,52.6985089,6.4563711
Zonnepark Oranjepoort,,Vereniging Parkmanagement Bedrijventerreinen Emmen BV,30,52.7411766,6.9563990
Zonnepark Roodehaan III,,,30,53.1939060,6.6461941
Zonneweide Haghorst,,,30,51.5104033,5.2213896
Zonneweide Beemte-Broekland,,,29.8,,
Zonnepark Flevokust,,,29.5,52.5599062,5.5237840
Zonnepark Oude Zutphenseweg,,,29,52.1176781,6.0768953
Zonnepark Vinkenpeelweg,,,28,51.4222449,6.0986788
Zonnepark Wanneperveen,,,28,52.6916590,6.1491799
Zonnepark Branderwal,,Energeion,27,,
Zonnepark De Uivermeertjes,,GroenLeven,27,51.8771328,5.6695336
Zonnepark Shell Moerdijk,,,27,,
Zonnepark Veenweg I,,,26.7,52.8997932,7.1283363
Zonnepark Fluitenberg,,,26,52.7426811,6.4600649
Vopak Solar Park Eemshaven,,,25,,
Zonnepark Gijsselterweg Fluitenberg,,,25,52.7463925,6.4336421
Zonnepark Hemmen I,,,25,51.9200389,5.6830578
Zonnepark Oudenhoorn,,,25,,
Zonnepark Pesse Zwarte Water,,,25,52.7798923,6.4903520
Vlowijker Zonneweide,,,24.7,52.0348831,5.2232550
Zonnepark Werkhoven,,,24.7,52.0314209,5.2292685
Zonnepark Maria Hoop,,,24.5,51.1087970,5.9838542
Zonnepark De Hulteweg,,,24,52.6371438,6.7136057
Zonnepark Kamperweg,,,24,51.4673989,4.0227276
Zonnepark Groningen Airport Eelde,,,22,53.1240780,6.5835743
Zonnepark Kreekrakpolder,,,22,51.4238597,4.2396316
Zonnepark Van der Duijnspolder,,ZonXP,22,51.4123770,4.2678081
Zonnepark Oudehaske II,,,21.3,,
Zonnepark Broekstraat,,,21,52.1886175,6.0581565
Zonnepark Kampen,,,21,52.5884283,5.9725301
Cosun Solar Park Puttershoek,,KiesZon,20.6,51.8097250,4.5511647
Zonnepark Groetpolder,,,20.3,52.7811356,4.9228856
Zonnepark Vleddermond,,,20.1,52.9809328,6.9894188
Zonnewei De Raak,,,20,51.3190898,5.6249304
Zonnepark Exeloërmond,,,19.9,52.9251114,6.9136054
Zonnepark Hazenwinkel,,,19.5,51.4549762,5.5889966
Zonnepark Haverbos,,,19,51.9249154,6.3894704
Zonnepark Weekhorst,,,18.8,52.4605909,6.1226509
Zonnepark Schukkinkweg,,,18,52.1980947,6.9440443
Zonnepark Wijkerbroek,,,18,51.9688636,5.3055647
Zonnepark de Bathmense Landen,,,18,52.2530972,6.2731426
Zonnepark Boeldershoek-West,,,17.5,52.2345634,6.7778218
Zonnepark Schalkwijk,,,17.5,51.9918751,5.2163012
Zonnepark Bontepolder,,,17.2,51.2871605,3.8216105
Zonnepark Daalkampen,,,17,52.9154593,6.7763511
Zonnepark Lochem,,,17,52.1639307,6.4544737
Zonnepark Scaldia Verbrugge,,Scaldia Verbrugge,17,,
Zonnepark Tholen,,Eneco,17,51.5153096,4.1871645
Zonnepark Valgenweg,,"Groningen Seaports, Wirsol, Eneco, Bronnen VanOns",17,53.3019732,7.0041155
Zonnepark de Zwette,,GroenLeven,17,53.1856583,5.7521583
Zonnepark Beilen,,,16,52.8575888,6.4835851
Zonnepark De Dijken,,,16,52.7265335,4.7746364
Zonnepark Eimersweg,,,16,52.0690745,6.6198149
Zonnepark Hattemerbroek,,,16,52.4877358,6.0145932
Zonnepark Kloosterhaar,,,16,,
Zonnepark Montfort,,,16,51.1410681,5.9373744
Zonnepark Veendam,,,16,53.0880618,6.8751474
Zonnepark Wenumseveld,,,16,52.2499094,5.9763461
Zonnepark EPZ,,EPZ,15.5,,
Zonnepark Heemserpoort,,,15.3,52.5776061,6.5842302
Aan de Dintel,,,15,51.6374225,4.4004106
Zonnepark Agger,,LC-energy,15,51.4218779,4.2932780
Zonnepark Andijk,,Chint Solar Astronergy,15,,
Zonnepark Dievelman,,,15,52.1015479,6.5417005
Zonnepark Ter Apelkanaal,,,15,52.9224188,7.0616957
Zonnepark Tynaarlo,,GroenLeven,15,53.0882387,6.6303816
Zonnepark Sekdoornse plas,,Blauwvinger Energie,14.5,,
Zonnepark 't Goy,,,14.4,51.9998528,5.2142769
Zonnepark De Ekers,,,14.3,52.9650387,5.8369668
Zonnepark De Lange Runde,,Statkraft,14.2,52.7436624,7.0324115
Zonnepark Zierikzee,,Encavis AG,14.1,51.6388979,3.9161648
Zonnepark Braambergen,,,14,,
Zonnepark De Dreef,,,14,52.8649573,6.9067336
Zonnepark Dokkum,,,14,53.3316420,5.9864148
Zonnepark Gennep,,Kronos Solar Projects GmbH,14,51.6683761,6.0093558
Zonnepark Heerenveen Zuid,,,14,52.9273590,5.9464985
Zonnepark Kampbroek,,,14,51.8406545,5.6900428
Zonnepark Kanaaldijk-Zuid Heino,,,14,52.4602430,6.2603231
Zonnepark Lippe Gabriëlsplas,,GroenLeven,14,,
Zonnepark Middelburg,,GroenLeven,14,51.4781428,3.6213755
Zonnepark Rotterdam The Hague Airport,,,14,51.9649969,4.4556582
Zonnepark Woldjerspoor,,GroenLeven,14,53.1940920,6.6194983
Zonnepark Bedrijventerrein Stadskanaal,,,13.9,52.9825865,6.9867569
Zonnepark Cothen,,,13.9,51.9913350,5.3060383
Zonnepark Hoevelakensebeek,,,13.8,,
Drijvend Zonnepark Nij Beets,,,13.6,,
Zonnepark Medel,,,13.6,51.9167665,5.4840312
Zonnepark Koningspleij,,,13.3,51.9623158,5.9433254
Zonnepark Groensebos,,,13.2,51.1131693,5.9252572
Zonnepark Coevorderkanaal,,,13,52.6385888,6.7220705
Zonnepark Hijken Beilen,,,13,52.8911860,6.5236550
Zonnepark Kerkendijk,,Zonneparken Someren,13,51.3440654,5.6989634
Zonnepark Lingewal,,Kronos Solar Projects GmbH,13,,
Zonnepark Oude Zutphenseweg,,Kronos Solar Projects GmbH,13,52.1176781,6.0768953
Zonnepark Zuidplas,,,13,52.0093191,4.6246014
Zonnepark Geesteren,,,12.9,52.1284603,6.5461636
Zonnepark Munsterjansdijk,,,12.9,52.1280610,6.6495669
Zonnepark Spoorstraat,,Solar Park Echteld B.V.,12.8,51.9097608,5.4824142
Zonnepark Dorst,,,12.7,51.5863065,4.8447047
Zonnepark Pitrus,,,12.7,52.7370860,7.0320048
Solargaard Vianen,,,12.5,51.7103473,5.8620381
Zonnepark 't Rikkerink,,,12.5,52.2640701,6.6382093
Zonnepark Appelscha,,,12.5,52.9385372,6.3558580
Zonnepark Emmeloord,,Groen Leven,12.5,52.7213467,5.7842447
Zonnepark Ficarystraat,,TPSolar,12.5,51.8463771,5.7133054
Zonnepark Kooypunt,,Vattenfall,12.5,,
Agri-PV Zonnepark A73,,,12,,
Zonnepark A73 Beuningen,,ZonXP,12,51.8487010,5.7506038
Zonnepark Abdissenbosch,,,12,50.9310263,6.0268144
Zonnepark Belvédère,,,12,,
Zonnepark De Watering,,,12,52.6642177,6.7159535
Zonnepark Drachtsterweg,,Energeia,12,,
Zonnepark Emmen,,Shell,12,52.8166348,6.9752731
Zonnepark Hoogveld Zuid,,TPSolar,12,51.6500679,5.6704121
Zonnepark Lungendonk,,TPSolar,12,51.4522393,5.6703985
Zonnepark Oosterweilanden,,Zonnepark Oosterweilanden BV,12,52.4102042,6.6404227
Zonnepark Schoenaker,,TPSolar,12,51.8419421,5.7358713
Zonnepark Tichelrijt 3,,,12,51.6125652,4.9439812
Zonnepark Rilland,,Unisun Energy,11.75,51.4157302,4.2405032
Zonnepark Kloosterlaan,,,11.7,53.2828481,6.9741846
Zonnepark Sinnegreide,,,11.7,53.2598524,6.1522793
Zonnepark Roodehaan I,,,11.4,53.1983891,6.6392406
Zonnepark Wijkerbroek Oost,,,11.09,51.9664351,5.3124515
Zonnepark Afleidingskanaal,,,11,52.1495833,6.2604043
Zonnepark Bathpolder,,,11,51.4294667,4.2213700
Zonnepark Boksveenweg,,,11,52.0586161,6.6673065
Zonnepark Haarstdiek,,,11,52.7641933,6.7960644
Zonnepark Lievelde,,,11,52.0012601,6.5758896
Zonnepark Wilbertoord,,,11,51.6411131,5.7580099
Zonnepark Zeeland Refinery,,,11,51.4508891,3.7325282
Zonnepark Tinte,,,10.9,51.8999935,4.1404250
Zonnepark Graafsebaan,,,10.5,51.7085170,5.4163308
Zonnepark Waterlanden,,,10.4,,
Zonnepark De Kie,,Solarfields,10.15,53.1756865,5.5156972
Zonnepark Maatweg,,,10,,
Zonnepark Melissant,,,10,51.7733129,4.0362356
Zonnepark op Vloeivelden,,ECLoZ,10,51.6218466,5.0603777
Zonnepark Berkelweide,,TPSolar,9.7,52.1648451,6.3909828
Zonnepark Leeksterveld fase 2,,Ecorus,9.6,53.1869396,6.3637840
Zonnepark Roodehaan II,,,9.6,53.1973447,6.6469252
Zonnepark IJsselmeerdijk,,,9.5,52.5636380,5.5156396
Zonneweide De Blauwe Poort,,,9.5,,
Zonnepark rwzi Bath,,,9.49,51.4004916,4.2499257
Zonnepark De Vaandel,,Ecorus,9.36,52.6887702,4.8444024
Zonnepark Avri,,Avri Solar B.V.,9.3,51.8669052,5.3266958
Zonnepark Batendijk,,,9.3,52.1043033,6.5380376
Zonnepark Dassenberg,,,9.3,51.5573343,4.2962751
Zonnepark Wijkerbroek West,,,9.28,51.9695714,5.3018707
Zonnepark Marum,,,9,53.1380707,6.2793657
Zonnepark Spechthorst/De Whee,,,9,,
Zonnepark Armhoede,,TPSolar,8.9,52.1722747,6.4502347
Agri PV Zonnepark Van Hoof,,,8.7,51.5812189,5.4263254
Zonnepark Bloesemlaan,,TPSolar,8.5,52.3533388,5.4797889
Zonnepark Haulerwijk,,GroenLeven,8.2,,
Zonneakker Revelhorst,,,8,52.1212523,6.2301766
Zonnepark De Stegenhoek,,,8,52.1817564,6.6605413
Zonnepark Keppelseweg,,,8,51.9832691,6.2612924
Zonnepark Buinerhorn,,,7.86,52.9746614,6.9339054
Zonnepark Geefsweer,,,7.8,53.3003592,6.9263325
Zonnepark Noordmanshoek,,,7.8,52.3961691,6.1406344
Zonnepark Alteveer,,,7.5,53.0566417,7.0006769
Zonnepark Hardenberg,,Kronos Solar,7.5,52.6110061,6.5515667
Zonnepark Schaapsdijk,,,7.5,52.3087413,5.5678833
Zonnepark Transberg,,Drechtsteden Energie,7.5,51.7453603,4.6348125
Zonnepark De Dogger,,,7.45,,
Zonnepark Hessenpoort,,,7.4,52.5340088,6.1813499
Zonnepark Omweg Energy Park,,,7.28,52.9749780,5.9079644
Zonnepark Alphen aan den Rijn - N11,,,7.2,52.1261449,4.6179708
